line,type,full_match,label,id,title,URL,code
13,MAINLVL,Hoofdstuk 1. Algemene bepalingen,Hoofdstuk,1,Algemene bepalingen,https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk1,C1
14,MAINLVL,Afdeling 1.1. Algemeen,Afdeling,1.1,Algemeen,https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk1_Afdeling1.1,C1_S1_1
15,MAINLVL,Artikel 1.1. (begripsbepalingen),Artikel,1.1,(begripsbepalingen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk1_Afdeling1.1_Artikel1.1,C1_S1_1_A1_1
17,MAINLVL,Artikel 1.1a. (grondslag),Artikel,1.1a,(grondslag),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk1_Afdeling1.1_Artikel1.1a,C1_S1_1_A1_1a
18,SUBLVLI,1.	,Lid,1.,(grondslag),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk1_Afdeling1.1_Artikel1.1a_Lid1,C1_S1_1_A1_1a_SUB1
19,SUBLVLI,2.	,Lid,2.,(grondslag),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk1_Afdeling1.1_Artikel1.1a_Lid2,C1_S1_1_A1_1a_SUB2
20,MAINLVL,Afdeling 1.2. Internationaalrechtelijke verplichtingen,Afdeling,1.2,Internationaalrechtelijke verplichtingen,https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk1_Afdeling1.2,C1_S1_2
21,MAINLVL,Artikel 1.2. (wederzijdse erkenning),Artikel,1.2,(wederzijdse erkenning),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk1_Afdeling1.2_Artikel1.2,C1_S1_2_A1_2
23,MAINLVL,Hoofdstuk 2. Algemene bepalingen voor bouwwerken,Hoofdstuk,2,Algemene bepalingen voor bouwwerken,https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2,C2
24,MAINLVL,Afdeling 2.1. Algemeen,Afdeling,2.1,Algemeen,https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1,C2_S2_1
25,MAINLVL,Artikel 2.1. (toepassingsbereik: activiteiten),Artikel,2.1,(toepassingsbereik: activiteiten),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.1,C2_S2_1_A2_1
27,MAINLVL,Artikel 2.2. (bevoegd gezag),Artikel,2.2,(bevoegd gezag),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.2,C2_S2_1_A2_2
28,SUBLVLI,1.	,Lid,1.,(bevoegd gezag),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.2_Lid1,C2_S2_1_A2_2_SUB1
32,SUBLVLI,2.	,Lid,2.,(bevoegd gezag),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.2_Lid2,C2_S2_1_A2_2_SUB2
33,MAINLVL,Artikel 2.3. (maatwerkregels),Artikel,2.3,(maatwerkregels),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.3,C2_S2_1_A2_3
35,MAINLVL,Artikel 2.4. (gelijkwaardigheid bij melding of vergunningvrije activiteit),Artikel,2.4,(gelijkwaardigheid bij melding of vergunningvrije activiteit),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.4,C2_S2_1_A2_4
36,SUBLVLI,1.	,Lid,1.,(gelijkwaardigheid bij melding of vergunningvrije activiteit),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.4_Lid1,C2_S2_1_A2_4_SUB1
39,SUBLVLI,2.	,Lid,2.,(gelijkwaardigheid bij melding of vergunningvrije activiteit),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.4_Lid2,C2_S2_1_A2_4_SUB2
40,MAINLVL,Artikel 2.5. (instandhouden gelijkwaardige maatregel),Artikel,2.5,(instandhouden gelijkwaardige maatregel),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.5,C2_S2_1_A2_5
42,MAINLVL,Artikel 2.6. (specifieke zorgplicht: bouwwerkinstallatie),Artikel,2.6,(specifieke zorgplicht: bouwwerkinstallatie),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.6,C2_S2_1_A2_6
47,MAINLVL,Artikel 2.7. (gemeenschappelijk en gezamenlijk),Artikel,2.7,(gemeenschappelijk en gezamenlijk),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.7,C2_S2_1_A2_7
48,SUBLVLI,1.	,Lid,1.,(gemeenschappelijk en gezamenlijk),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.7_Lid1,C2_S2_1_A2_7_SUB1
49,SUBLVLI,2.	,Lid,2.,(gemeenschappelijk en gezamenlijk),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.7_Lid2,C2_S2_1_A2_7_SUB2
50,SUBLVLI,3.	,Lid,3.,(gemeenschappelijk en gezamenlijk),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.7_Lid3,C2_S2_1_A2_7_SUB3
51,MAINLVL,Artikel 2.8. (monumenten),Artikel,2.8,(monumenten),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.8,C2_S2_1_A2_8
59,MAINLVL,Artikel 2.9. (afwijking wegens implementatie van Europese regelgeving),Artikel,2.9,(afwijking wegens implementatie van Europese regelgeving),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.9,C2_S2_1_A2_9
61,MAINLVL,Artikel 2.10. (drank- en horeca-inrichtingen),Artikel,2.10,(drank- en horeca-inrichtingen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.10,C2_S2_1_A2_10
63,MAINLVL,Artikel 2.10a. (waterkerende bouwwerken),Artikel,2.10a,(waterkerende bouwwerken),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.10a,C2_S2_1_A2_10a
65,MAINLVL,Artikel 2.11. (aantal personen in een bouwwerk),Artikel,2.11,(aantal personen in een bouwwerk),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.11,C2_S2_1_A2_11
67,MAINLVL,Artikel 2.12. (overgangsrecht: aantal personen in een bouwwerk),Artikel,2.12,(overgangsrecht: aantal personen in een bouwwerk),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.1_Artikel2.12,C2_S2_1_A2_12
69,MAINLVL,"Afdeling 2.2. CE-markeringen, markttoezicht en kwaliteitsverklaringen bouw",Afdeling,2.2,"CE-markeringen, markttoezicht en kwaliteitsverklaringen bouw",https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.2,C2_S2_2
70,MAINLVL,Artikel 2.13. (verordening bouwproducten),Artikel,2.13,(verordening bouwproducten),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.2_Artikel2.13,C2_S2_2_A2_13
71,SUBLVLI,1.	,Lid,1.,(verordening bouwproducten),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.2_Artikel2.13_Lid1,C2_S2_2_A2_13_SUB1
72,SUBLVLI,2.	,Lid,2.,(verordening bouwproducten),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.2_Artikel2.13_Lid2,C2_S2_2_A2_13_SUB2
73,SUBLVLI,3.	,Lid,3.,(verordening bouwproducten),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.2_Artikel2.13_Lid3,C2_S2_2_A2_13_SUB3
74,SUBLVLI,4.	,Lid,4.,(verordening bouwproducten),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.2_Artikel2.13_Lid4,C2_S2_2_A2_13_SUB4
75,SUBLVLI,5.	,Lid,5.,(verordening bouwproducten),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk2_Afdeling2.2_Artikel2.13_Lid5,C2_S2_2_A2_13_SUB5
