line,type,full_match,label,id,title,URL,code,text_original,text_translated
1970,MAINLVL,Artikel 4.38. (stookplaats),Artikel,4.38,(stookplaats),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.6_Artikel4.38,C4_S4_2_P4_2_6_A4_38,"Materiaal ter plaatse van of nabij een stookplaats voldoet aan brandklasse A1 of voor zover het de bovenzijde van een vloer, een trap of een hellingbaan betreft aan brandklasse A1fl, beide bepaald volgens NEN-EN 13501-1, als:
	a.	op het materiaal een intensiteit aan warmtestraling kan optreden die, bepaald volgens NEN 6061, groter is dan 2 kW/m2; of
	b.	in het materiaal een temperatuur kan optreden die, bepaald volgens NEN 6061, hoger is dan 90 °C.","Material at the location of or near a fireplace meets fire class A1 or insofar as it concerns the top of a floor, a staircase or a ramp of fire class A1fl, both determined according to NEN-EN 13501-1, as:
	a. An intensity of heat radiation can occur on the material that, determined according to NEN 6061, is larger than 2 kW/m2; or
	b. A temperature can occur in the material that, determined according to NEN 6061, is higher than 90 ° C."
1975,SUBLVLI,1.	,Lid,1.,"(schacht, koker of kanaal)",https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.6_Artikel4.39_Lid1,C4_S4_2_P4_2_6_A4_39_SUB1,"Materiaal toegepast aan de binnenzijde van een schacht, een koker of een kanaal grenzend aan meer dan een brandcompartiment of subbrandcompartiment met een inwendige doorsnede groter dan 0,015 m2, voldoet aan brandklasse A2, bepaald volgens NEN-EN 13501-1.","Material applied to the inside of a shaft, a tube or a channel adjacent to more than a fire compartment or sub-fire compartment with an internal cross-section larger than 0.015 m2, complies with fire class A2, determined according to NEN-EN 13501-1."
1976,SUBLVLI,2.	,Lid,2.,"(schacht, koker of kanaal)",https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.6_Artikel4.39_Lid2,C4_S4_2_P4_2_6_A4_39_SUB2,"Het eerste lid is niet van toepassing op:
	a.	een schacht die alleen is bestemd voor een of meer boven elkaar gelegen toiletruimten of badruimten en die niet door andere ruimten voert;
	b.	ten hoogste 5% van de totale oppervlakte van de in dat lid bedoelde binnenzijde; en
	c.	het materiaal van een constructie- of bouwwerkinstallatieonderdeel dat wordt omsloten door een in dat lid bedoelde schacht, koker of kanaal.","The first sub-article does not apply to:
	a. A shaft that is only intended for one or more toilet spaces or bathrooms and that does not run through other spaces;
	b. At most 5% of the total area of the inside referred to in that sub-article; and
	c. The material of a construction or building installation part that is enclosed by an shaft referred to in that sub-article, tube or channel."
2030,SUBLVLI,1.	,Lid,1.,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.43_Lid1,C4_S4_2_P4_2_7_A4_43_SUB1,"Een zijde van een constructieonderdeel die grenst aan de binnenlucht voldoet aan de in tabel 4.42 aangegeven brandklasse en aan rookklasse s2, beide bepaald volgens NEN-EN 13501-1.","One side of a construction part that borders the indoor air meets the fire class specified in Table 4.42 and to smoking class S2, both determined according to NEN-EN 13501-1."
2031,SUBLVLI,2.	,Lid,2.,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.43_Lid2,C4_S4_2_P4_2_7_A4_43_SUB2,In afwijking van het eerste lid geldt de eis aan de rookklasse alleen bij een beschermde vluchtroute.,"Contrary to the first sub-article, the requirement for the smoke class only applies to a protected escape route."
2032,SUBLVLI,3.	,Lid,3.,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.43_Lid3,C4_S4_2_P4_2_7_A4_43_SUB3,"In afwijking van het eerste lid voldoet het beweegbare deel van een deur in een inwendige scheidingsconstructie op een route tussen:
	a.	een gebruiksgebied, een toiletruimte of een badruimte en een besloten ruimte waardoor een extra beschermde vluchtroute voert; en
	b.	een besloten ruimte waardoor een extra beschermde vluchtroute voert en de in de vluchtrichting aansluitende besloten ruimte;
aan brandklasse D, bepaald volgens NEN-EN 13501-1.","Contrary to the first sub-article, the movable part of a door in an internal partition structure on a route between:
	a. A use area, a toilet room or a bathroom and a private space that leads to an extra protected escape route; and
	b. A private space that leads to an extra protected escape route and the private space that contains in the flight direction;
to fire class D, determined according to NEN-EN 13501-1."
2037,SUBLVLI,1.	,Lid,1.,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.44_Lid1,C4_S4_2_P4_2_7_A4_44_SUB1,"Een zijde van een constructieonderdeel die grenst aan de buitenlucht voldoet aan de in tabel 4.42 aangegeven brandklasse, bepaald volgens NEN-EN 13501-1.","One side of a construction part that borders the outside air meets the fire class specified in Table 4.42, determined according to NEN-EN 13501-1."
2038,SUBLVLI,2.	,Lid,2.,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.44_Lid2,C4_S4_2_P4_2_7_A4_44_SUB2,"Het deel van een zijde van een constructieonderdeel dat grenst aan de buitenlucht en hoger ligt dan 13 m, voldoet aan brandklasse B, bepaald volgens NEN-EN 13501-1.","The part of one side of a construction part that borders the outside air and is higher than 13 m, complies with fire class B, determined according to NEN-EN 13501-1."
2039,SUBLVLI,3.	,Lid,3.,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.44_Lid3,C4_S4_2_P4_2_7_A4_44_SUB3,"Een zijde van een constructieonderdeel die grenst aan de buitenlucht, van een bouwwerk waarvan een voor personen bestemde vloer ten minste 5 m boven het meetniveau ligt, voldoet vanaf het aansluitende terrein tot een hoogte van ten minste 2,5 m aan brandklasse B, bepaald volgens NEN-EN 13501-1.","One side of a construction part that borders on the outside air, of a structure of which a floor designated for persons is at least 5 m above the measurement level, complies from the adjacent site to a height of at least 2.5 m of fire class B, determined according to NEN-EN 13501-1."
2040,SUBLVLI,4.	,Lid,4.,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.44_Lid4,C4_S4_2_P4_2_7_A4_44_SUB4,Het eerste tot en met derde lid zijn niet van toepassing op de bovenzijde van een dak.,The first to third sub-article do not apply to the top of a roof.
