line,type,full_match,label,id,title,URL,code,text_original,text_translated,preprocessing_success,clarity,syntactic_complexity,validation_complexity,referral_complexity
2031,SUBLVLI,2.	,Lid,2.0,(binnenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.43_Lid2,C4_S4_2_P4_2_7_A4_43_SUB2,In afwijking van het eerste lid geldt de eis aan de rookklasse alleen bij een beschermde vluchtroute.,"Contrary to the first sub-article, the requirement for the smoke class only applies to a protected escape route.",True,2,1,V3,2
2041,SUBLVLI,5.	,Lid,5.0,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.44_Lid5,C4_S4_2_P4_2_7_A4_44_SUB5,"In afwijking van het eerste tot en met derde lid voldoet een deur, een raam, een kozijn en een daaraan gelijk te stellen constructieonderdeel aan brandklasse D, bepaald volgens NEN-EN 13501-1.","Contrary from the first to third sub-article, a door, a window, a frame and a structural component to be equated with fire class D, determined according to NEN-EN 13501-1.",True,1,2,V3,5
2060,SUBLVLI,2.	,Lid,2.0,(dakoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.7_Artikel4.47_Lid2,C4_S4_2_P4_2_7_A4_47_SUB2,Het eerste lid geldt niet voor een bouwwerk met een gebruiksoppervlakte van ten hoogste 50 m2.,The first sub-article does not apply to a structure with a use area of at most 50 m2.,True,1,1,V3,2
2106,SUBLVLI,1.	,Lid,1.0,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid1,C4_S4_2_P4_2_8_A4_50_SUB1,Een besloten ruimte ligt in een brandcompartiment.,A closed space is in a fire compartment.,True,1,1,V3V4,1
2112,SUBLVLI,3.	,Lid,3.0,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid3,C4_S4_2_P4_2_8_A4_50_SUB3,Een wegtunnelbuis met een lengte van meer dan 250 m ligt in een brandcompartiment.,A road tunnel tube with a length of more than 250 m is in a fire compartment.,True,1,1,V3V4,1
2113,SUBLVLI,4.	,Lid,4.0,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid4,C4_S4_2_P4_2_8_A4_50_SUB4,In afwijking van het eerste lid voert een extra beschermde vluchtroute niet door een brandcompartiment.,"Contrary to the first sub-article, an extra protected escape route does not lead through a fire compartment.",True,1,1,V3V4,2
2114,SUBLVLI,5.	,Lid,5.0,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid5,C4_S4_2_P4_2_8_A4_50_SUB5,Een niet-besloten gebruiksgebied ligt in een brandcompartiment.,A non-open use area is in a fire compartment.,True,1,1,V3V4,1
2117,SUBLVLI,8.	,Lid,8.0,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.50_Lid8,C4_S4_2_P4_2_8_A4_50_SUB8,"Het eerste en vijfde lid zijn niet van toepassing op een lichte industriefunctie voor het telen, kweken of opslaan van gewassen of daarmee vergelijkbare producten, met een permanente vuurbelasting niet groter dan 150 MJ/m2, bepaald volgens NEN 6090.","The first and fifth sub-article do not apply to a light industrial function for growing, growing or storing crops or comparable products, with a permanent fire load no larger than 150 MJ/M2, determined according to NEN 6090.",True,1,4,V3,5
2119,SUBLVLI,1.	,Lid,1.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid1,C4_S4_2_P4_2_8_A4_51_SUB1,"Een brandcompartiment heeft een gebruiksoppervlakte die niet groter is dan de in tabel 4.49 aangegeven oppervlakte, of een grotere gebruiksoppervlakte als dat niet tot een lager veiligheidsniveau leidt, bepaald volgens NEN 6060 of NEN 6079.","A fire compartment has a use area that is no larger than the surface area indicated in Table 4.49, or a larger area of use if that does not lead to a lower safety level, determined according to NEN 6060 or NEN 6079.",True,2,4,V3,5
2120,SUBLVLI,2.	,Lid,2.0,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk4_Afdeling4.2_Paragraaf4.2.8_Artikel4.51_Lid2,C4_S4_2_P4_2_8_A4_51_SUB2,In een brandcompartiment liggen ten hoogste vier woonwagens en nevengebruiksfuncties daarvan met een totale gebruiksoppervlakte van ten hoogste 1.000 m2.,In a fire compartment there are a maximum of four caravans and additional user functions with a total use area of at most 1.000 m2.,True,4,2,V3V4,1
